2026-07-25 22:09:52 | 10_interpretability | INFO | ============================================================
2026-07-25 22:10:12 | 10_interpretability | INFO |   ETHACRYNIC ACID (label=1, pred=0.216): top gene=GENE_376, toxicophores=['michael_acceptor']
2026-07-25 22:10:12 | 10_interpretability | INFO |   FELODIPINE (label=1, pred=0.214): top gene=GENE_376, toxicophores=['michael_acceptor']
2026-07-25 22:10:13 | 10_interpretability | INFO |   Calcitriol (label=1, pred=0.371): top gene=GENE_376, toxicophores=[]
2026-07-25 22:10:14 | 10_interpretability | INFO |   FLUVOXAMINE MALEATE (label=1, pred=0.607): top gene=GENE_376, toxicophores=[]
2026-07-25 22:10:14 | 10_interpretability | INFO |   RALTEGRAVIR POTASSIUM (label=0, pred=0.346): top gene=GENE_376, toxicophores=[]
2026-07-25 22:10:15 | 10_interpretability | INFO |   ROPINIROLE HYDROCHLORIDE (label=1, pred=0.733): top gene=GENE_376, toxicophores=['herg_blocker_basic']
2026-07-25 22:10:15 | 10_interpretability | INFO |   Tobramycin Sulfate (label=0, pred=0.240): top gene=GENE_376, toxicophores=[]
2026-07-25 22:10:16 | 10_interpretability | INFO |   IBUPROFEN (label=1, pred=0.379): top gene=GENE_376, toxicophores=[]
2026-07-25 22:10:17 | 10_interpretability | INFO |   ZALEPLON (label=1, pred=0.469): top gene=GENE_376, toxicophores=[]
2026-07-25 22:10:17 | 10_interpretability | INFO |   THIORIDAZINE HYDROCHLORIDE (label=1, pred=0.758): top gene=GENE_376, toxicophores=['herg_blocker_basic']
2026-07-25 22:10:18 | 10_interpretability | INFO |   VALPROIC ACID (label=1, pred=0.237): top gene=GENE_376, toxicophores=[]
2026-07-25 22:10:19 | 10_interpretability | INFO |   ONDANSETRON HYDROCHLORIDE (label=1, pred=0.402): top gene=GENE_376, toxicophores=[]
2026-07-25 22:10:19 | 10_interpretability | INFO |   CHLORAMBUCIL (label=0, pred=0.553): top gene=GENE_376, toxicophores=[]
2026-07-25 22:10:20 | 10_interpretability | INFO |   bortezomib (label=1, pred=0.281): top gene=GENE_376, toxicophores=[]
2026-07-25 22:10:21 | 10_interpretability | INFO |   LEVOCETIRIZINE DIHYDROCHLORIDE (label=1, pred=0.681): top gene=GENE_376, toxicophores=['herg_blocker_basic']
2026-07-25 22:10:21 | 10_interpretability | INFO |   RANITIDINE HYDROCHLORIDE (label=1, pred=0.671): top gene=GENE_376, toxicophores=['nitro_group', 'herg_blocker_basic']
2026-07-25 22:10:22 | 10_interpretability | INFO |   Fomepizole (label=1, pred=0.370): top gene=GENE_376, toxicophores=[]
2026-07-25 22:10:23 | 10_interpretability | INFO |   BUSPIRONE HYDROCHLORIDE (label=1, pred=0.711): top gene=GENE_376, toxicophores=['herg_blocker_basic']
2026-07-25 22:10:23 | 10_interpretability | INFO |   ABIRATERONE ACETATE (label=1, pred=0.310): top gene=GENE_376, toxicophores=[]
2026-07-25 22:10:24 | 10_interpretability | INFO |   Tizanidine (label=1, pred=0.707): top gene=GENE_376, toxicophores=[]
2026-07-25 22:10:25 | 10_interpretability | INFO |   FOSTAMATINIB (label=1, pred=0.239): top gene=GENE_376, toxicophores=[]
2026-07-25 22:10:25 | 10_interpretability | INFO |   AMLODIPINE BESYLATE (label=1, pred=0.337): top gene=GENE_376, toxicophores=['michael_acceptor']
2026-07-25 22:10:26 | 10_interpretability | INFO |   SECNIDAZOLE (label=0, pred=0.216): top gene=GENE_376, toxicophores=['nitro_group']
2026-07-25 22:10:27 | 10_interpretability | INFO |   CAFFEINE CITRATE (label=1, pred=0.216): top gene=GENE_376, toxicophores=[]
2026-07-25 22:10:27 | 10_interpretability | INFO |   FAMCICLOVIR (label=1, pred=0.195): top gene=GENE_376, toxicophores=[]
2026-07-25 22:10:28 | 10_interpretability | INFO |   LURASIDONE HYDROCHLORIDE (label=1, pred=0.714): top gene=GENE_376, toxicophores=['herg_blocker_basic']
2026-07-25 22:10:29 | 10_interpretability | INFO |   Tolcapone (label=1, pred=0.378): top gene=GENE_376, toxicophores=['nitro_group']
2026-07-25 22:10:29 | 10_interpretability | INFO |   Buflomedil (label=1, pred=0.726): top gene=GENE_376, toxicophores=['herg_blocker_basic']
2026-07-25 22:10:30 | 10_interpretability | INFO |   VERAPAMIL HYDROCHLORIDE (label=1, pred=0.744): top gene=GENE_376, toxicophores=['herg_blocker_basic']
2026-07-25 22:10:31 | 10_interpretability | INFO |   BROMOCRIPTINE MESYLATE (label=1, pred=0.559): top gene=GENE_376, toxicophores=['herg_blocker_basic']
2026-07-25 22:10:31 | 10_interpretability | INFO |   Busulfan (label=1, pred=0.208): top gene=GENE_376, toxicophores=[]
2026-07-25 22:10:32 | 10_interpretability | INFO |   LORATADINE (label=0, pred=0.488): top gene=GENE_376, toxicophores=[]
2026-07-25 22:10:32 | 10_interpretability | INFO |   LENALIDOMIDE (label=1, pred=0.261): top gene=GENE_376, toxicophores=[]
2026-07-25 22:10:33 | 10_interpretability | INFO |   NIMODIPINE (label=1, pred=0.215): top gene=GENE_376, toxicophores=['nitro_group', 'michael_acceptor']
2026-07-25 22:10:34 | 10_interpretability | INFO |   CLONIDINE HYDROCHLORIDE (label=1, pred=0.737): top gene=GENE_376, toxicophores=[]
2026-07-25 22:10:34 | 10_interpretability | INFO |   MINOXIDIL (label=1, pred=0.660): top gene=GENE_376, toxicophores=[]
2026-07-25 22:10:35 | 10_interpretability | INFO |   OLANZAPINE (label=1, pred=0.755): top gene=GENE_376, toxicophores=['herg_blocker_basic']
2026-07-25 22:10:36 | 10_interpretability | INFO |   COLCHICINE (label=0, pred=0.531): top gene=GENE_376, toxicophores=[]
2026-07-25 22:10:36 | 10_interpretability | INFO |   AVANAFIL (label=1, pred=0.545): top gene=GENE_376, toxicophores=[]
2026-07-25 22:10:37 | 10_interpretability | INFO |   DICLOFENAC POTASSIUM (label=1, pred=0.248): top gene=GENE_376, toxicophores=[]
2026-07-25 22:10:38 | 10_interpretability | INFO |   AFATINIB (label=0, pred=0.659): top gene=GENE_844, toxicophores=['michael_acceptor', 'herg_blocker_basic']
2026-07-25 22:10:39 | 10_interpretability | INFO |   Dexfenfluramine (label=1, pred=0.751): top gene=GENE_376, toxicophores=[]
2026-07-25 22:10:39 | 10_interpretability | INFO |   CITALOPRAM (label=1, pred=0.754): top gene=GENE_376, toxicophores=['herg_blocker_basic']
2026-07-25 22:10:40 | 10_interpretability | INFO |   PROPYLTHIOURACIL (label=0, pred=0.292): top gene=GENE_376, toxicophores=[]
2026-07-25 22:10:40 | 10_interpretability | INFO |   FLAVOXATE HYDROCHLORIDE (label=1, pred=0.716): top gene=GENE_376, toxicophores=['herg_blocker_basic']
2026-07-25 22:10:41 | 10_interpretability | INFO |   FOLIC ACID (label=0, pred=0.224): top gene=GENE_376, toxicophores=[]
2026-07-25 22:10:42 | 10_interpretability | INFO |   CARGLUMIC ACID (label=0, pred=0.176): top gene=GENE_376, toxicophores=[]
2026-07-25 22:10:42 | 10_interpretability | INFO |   Cisapride (label=1, pred=0.706): top gene=GENE_376, toxicophores=['herg_blocker_basic']
2026-07-25 22:10:43 | 10_interpretability | INFO |   EVEROLIMUS (label=1, pred=0.245): top gene=GENE_376, toxicophores=[]
2026-07-25 22:10:44 | 10_interpretability | INFO |   ponatinib hydrochloride (label=1, pred=0.710): top gene=GENE_376, toxicophores=['herg_blocker_basic']
2026-07-25 22:10:44 | 10_interpretability | INFO |   VALSARTAN (label=1, pred=0.419): top gene=GENE_376, toxicophores=[]
2026-07-25 22:10:45 | 10_interpretability | INFO |   TAMOXIFEN CITRATE (label=1, pred=0.768): top gene=GENE_376, toxicophores=['herg_blocker_basic']
2026-07-25 22:10:46 | 10_interpretability | INFO |   ATOVAQUONE (label=0, pred=0.358): top gene=GENE_376, toxicophores=['michael_acceptor']
2026-07-25 22:10:46 | 10_interpretability | INFO |   ivacaftor (label=0, pred=0.509): top gene=GENE_376, toxicophores=[]
2026-07-25 22:10:47 | 10_interpretability | INFO |   EPIRUBICIN HYDROCHLORIDE (label=1, pred=0.349): top gene=GENE_376, toxicophores=[]
2026-07-25 22:10:48 | 10_interpretability | INFO |   METHYLNALTREXONE BROMIDE (label=1, pred=0.620): top gene=GENE_376, toxicophores=['herg_blocker_basic']
2026-07-25 22:10:48 | 10_interpretability | INFO |   niacin (label=1, pred=0.198): top gene=GENE_376, toxicophores=[]
2026-07-25 22:10:49 | 10_interpretability | INFO |   ZIPRASIDONE MESYLATE (label=1, pred=0.734): top gene=GENE_376, toxicophores=['herg_blocker_basic']
2026-07-25 22:10:49 | 10_interpretability | INFO | Interpretability report: C:\Users\patel\Desktop\group_project\cardiotox-fusion\results\interpretability_validation.md
2026-07-25 22:10:49 | 10_interpretability | INFO | Top 10 genes globally by mean attention:
2026-07-25 22:10:49 | 10_interpretability | INFO |   1. GENE_0: 0.0033
2026-07-25 22:10:49 | 10_interpretability | INFO |   2. GENE_1: 0.0028
2026-07-25 22:10:49 | 10_interpretability | INFO |   3. GENE_2: 0.0025
2026-07-25 22:10:49 | 10_interpretability | INFO |   4. GENE_3: 0.0024
2026-07-25 22:10:49 | 10_interpretability | INFO |   5. GENE_4: 0.0022
2026-07-25 22:10:49 | 10_interpretability | INFO |   6. GENE_5: 0.0021
2026-07-25 22:10:49 | 10_interpretability | INFO |   7. GENE_6: 0.0021
2026-07-25 22:10:49 | 10_interpretability | INFO |   8. GENE_7: 0.0021
2026-07-25 22:10:49 | 10_interpretability | INFO |   9. GENE_8: 0.0020
2026-07-25 22:10:49 | 10_interpretability | INFO |   10. GENE_9: 0.0020
2026-07-25 22:10:49 | 10_interpretability | INFO | 10_interpretability.py COMPLETE
